# n,	pan,	tilt,	rvecs,	,	,	tvecs,	,	
1,	0.254333,	-0.901778,	3.091921280967282505e-03,	-1.939636490267215574e-01,	3.010062343047659184e+00,	2.818837409750759804e+00,	-2.801198735530593353e+01,	8.315451058796499240e+01
2,	0.254333,	-0.86132245,	1.802403528694286605e-02,	-1.690332346456824564e-01,	3.012448748635226714e+00,	2.856531087742147701e+00,	-2.564293409037551896e+01,	8.395703969746281814e+01
3,	0.254333,	-0.8208669,	1.511128906644866772e-02,	-1.027934754863848305e-01,	3.016558729274022355e+00,	2.867500671981194404e+00,	-2.288563317038852318e+01,	8.477970087380626296e+01
4,	0.254333,	-0.78041135,	9.059636701950667115e-03,	-3.362448743694225473e-02,	3.017643606881358131e+00,	2.903938315945382875e+00,	-1.998833749609769583e+01,	8.507734073905440653e+01
5,	0.254333,	-0.7399558,	1.147718665745675430e-02,	1.489955512466545513e-02,	3.018476010020047617e+00,	2.952475140775161933e+00,	-1.695658190254739850e+01,	8.559010515217633497e+01
6,	0.254333,	-0.69950025,	1.613635852061045747e-02,	6.805159328886449532e-02,	3.019601121031184832e+00,	2.969082554626495618e+00,	-1.406459724857239380e+01,	8.596216091490019551e+01
7,	0.254333,	-0.6590447,	1.384049858172613744e-02,	1.243500671355634024e-01,	3.017242227213976058e+00,	3.001929102072943500e+00,	-1.120590002709336375e+01,	8.600007619045700835e+01
8,	0.254333,	-0.61858915,	-3.007456466196500866e-02,	1.653904940643989852e-01,	3.011331595933326000e+00,	3.041304110261314531e+00,	-8.006763272762885464e+00,	8.664435388411506267e+01
9,	0.254333,	-0.5781336,	1.977836871255595277e-02,	1.887043124967403007e-01,	3.015548082644938788e+00,	3.039479893324358528e+00,	-4.920917195879679795e+00,	8.646123512806889266e+01
10,	0.254333,	-0.53767805,	6.081727807566385605e-03,	2.177176929685982198e-01,	3.013062073094267213e+00,	3.065045718527420693e+00,	-2.174481452123288694e+00,	8.653883932474883522e+01
11,	0.254333,	-0.4972225,	-1.211620320106873011e-02,	2.758416779692753895e-01,	3.008595509607854268e+00,	3.086635800600851187e+00,	9.490193151737174038e-01,	8.660815123043440167e+01
12,	0.254333,	-0.45676695,	-6.086189916440454435e-03,	3.305558331295401775e-01,	3.003305779035811085e+00,	3.106130233546546826e+00,	4.057393057923781576e+00,	8.623932394895173559e+01
13,	0.254333,	-0.4163114,	2.564889031141115092e-02,	4.184625937621775926e-01,	2.993200187407486279e+00,	3.116195935304568732e+00,	6.676864541009185139e+00,	8.606551588135877751e+01
14,	0.254333,	-0.37585585,	-4.987821255091431233e-02,	4.429082220613492771e-01,	2.992691855130396927e+00,	3.137968480818884576e+00,	9.825518910237983405e+00,	8.612650243425096619e+01
15,	0.254333,	-0.3354003,	-2.860606504825109753e-02,	5.380288936319207460e-01,	2.975435445708065618e+00,	3.142493719604383173e+00,	1.293408094266707486e+01,	8.555575362591797273e+01
16,	0.254333,	-0.29494475,	-1.982587294190161012e-02,	5.861904518783425111e-01,	2.966754048411264666e+00,	3.151819516138168353e+00,	1.553802089678993958e+01,	8.524524893043661677e+01
17,	0.254333,	-0.2544892,	8.171752955388014716e-02,	6.999428302770025478e-01,	2.941090017252945721e+00,	3.137056641185367312e+00,	1.835964494046871920e+01,	8.392825730266885387e+01
18,	0.254333,	-0.21403365,	5.332026894911801040e-03,	7.085682775407446954e-01,	2.942217407169700927e+00,	3.132521703630949617e+00,	2.159862264954527689e+01,	8.398292937848252393e+01
19,	0.254333,	-0.1735781,	-1.952510453836310556e-02,	7.203541326648166265e-01,	2.939201386476350208e+00,	3.142517365916062566e+00,	2.427852018014872471e+01,	8.355747954130713140e+01
20,	0.254333,	-0.13312255,	-1.686128692211655896e-04,	7.691943284002011882e-01,	2.924987521507402377e+00,	3.134883385375066833e+00,	2.706610643130762028e+01,	8.254983478861355195e+01
21,	0.254333,	-0.092667,	6.569147541595303334e-03,	7.649027334956953750e-01,	2.926021547375292187e+00,	3.130245372485964239e+00,	3.010823406624096066e+01,	8.148273662296602993e+01
